gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
002574,20101231,2010,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,28141.0000,10636.0000,10636.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20111231,2011,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,29473.0000,11743.0000,11743.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20121231,2012,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,30571.0000,11756.0000,11756.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20131231,2013,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,31782.0000,12026.0000,12026.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20141231,2014,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,33053.0000,12669.0000,12669.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20151231,2015,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35039.0000,11811.0000,11811.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20161231,2016,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35414.0000,11069.0000,11069.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20171231,2017,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35739.0000,11408.0000,11408.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20181231,2018,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,36729.0000,12250.0000,12250.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20191231,2019,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,38257.0000,11937.0000,11937.0000,0000277948,A,2030,203040,20,20304010,482111,4011
002574,20201231,2020,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,39793.0000,10583.0000,10583.0000,0000277948,A,2030,203040,20,20304010,482111,4011
003062,20110531,2010,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4351.9400,3810.3840,3810.3840,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20120531,2011,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4160.9060,4102.0000,4102.0000,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20130531,2012,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4345.6320,4316.4710,4316.4710,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20140531,2013,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4462.4520,4551.8120,4551.8120,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20150531,2014,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4192.4600,4476.8860,4476.8860,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20160531,2015,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4104.3930,4905.4580,4905.4580,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20170531,2016,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,6844.0570,5323.3810,5323.3810,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20180531,2017,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,6958.2140,6476.6320,6476.6320,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20190531,2018,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,7436.6620,6892.3030,6892.3030,0000723254,A,2020,202010,20,20201070,812331,7200
003062,20200531,2019,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,7669.8850,7085.1200,7085.1200,0000723254,A,2020,202010,20,20201070,812331,7200
003226,20101231,2010,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,118534.0000,37937.0000,37937.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20111231,2011,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,157818.0000,55842.0000,55842.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20121231,2012,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,164971.0000,62570.0000,62570.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20131231,2013,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,158813.0000,64657.0000,64657.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20141231,2014,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,159339.0000,68775.0000,68775.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20151231,2015,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,166574.0000,74510.0000,74510.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20161231,2016,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,180500.0000,80403.0000,80403.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20171231,2017,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,186949.0000,84526.0000,84526.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20181231,2018,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,251684.0000,94507.0000,94507.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20191231,2019,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,263414.0000,108942.0000,108942.0000,0001166691,A,5020,502010,50,50201030,515210,4841
003226,20201231,2020,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,273869.0000,103564.0000,103564.0000,0001166691,A,5020,502010,50,50201030,515210,4841
005568,20110430,2010,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,12230.6450,10706.5880,10706.5880,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20120430,2011,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,11983.2930,11649.0790,11649.0790,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20130430,2012,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,12939.0070,11528.8860,11528.8860,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20131231,2013,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,38972.3480,,,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20141231,2014,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,36762.7410,10922.2690,10922.2690,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20151231,2015,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,122973.0000,18338.0000,18338.0000,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20161231,2016,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,120480.0000,26487.0000,26487.0000,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20171231,2017,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,120232.0000,26232.0000,26232.0000,0001637459,A,3020,302020,30,30202030,31142,2030
005568,20181231,2018,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,103461.0000,26268.0000,26268.0000,0001637459,A,3020,302020,30,30202030,31142,2030
